timestamp,hour,minute,day_of_week,is_weekend,Battery_Active_Power,PVPCS_Active_Power,GE_Active_Power,FC_Active_Power,MG-LV-MSB_AC_Voltage,MG-LV-MSB_Frequency,Inlet_Temperature_of_Chilled_Water,Outlet_Temperature,solar_generation_kw,fuel_cell_generation_kw,battery_power_kw,total_consumption_kw,total_generation_kw,net_balance_kw,grid_voltage_v,grid_frequency_hz,grid_export_kw,grid_import_kw,grid_stability_index,renewable_pct,grid_load_pct,storage_network_capacity_kwh,current_soc_pct,storage_available_energy_kwh,import_rate_usd_per_kwh,export_rate_usd_per_kwh,outage_zones_count,outage_zones_list,solar_generation_kwh,total_consumption_kwh,net_balance_kwh,carbon_offset_kg,cumulative_solar_kwh,cumulative_consumption_kwh,cumulative_carbon_offset_kg
2022-06-01 00:00:00,0,0,2,False,0.0,0.0,-1.0,0.0,485.19166666666666,60.0145271,28.347499475,28.38055535,0.0,0.0,0.0,0.0,0.0,0.0,485.19166666666666,60.0145271,0.0,0.0,0.5825674799999973,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 01:00:00,1,0,2,False,0.0,0.0,-1.0,0.0,481.7611111111111,60.007693875,27.84111076111111,27.879166452777778,0.0,0.0,0.0,0.0,0.0,0.0,481.7611111111111,60.007693875,0.0,0.0,0.5907673499999987,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 02:00:00,2,0,2,False,0.0,0.0,-1.0,0.0,482.275,59.99227845000001,26.83305568333333,26.86611117777778,0.0,0.0,0.0,0.0,0.0,0.0,482.275,59.99227845000001,0.0,0.0,0.5907341400000092,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 03:00:00,3,0,2,False,0.0,0.0,-1.0,0.0,482.81111111111113,59.984167186111115,26.592778133333333,26.619722705555553,0.0,0.0,0.0,0.0,0.0,0.0,482.81111111111113,59.984167186111115,0.0,0.0,0.5810006233333382,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 04:00:00,4,0,2,False,0.0,0.0,-1.0,0.0,483.53333333333336,59.97925055277778,25.97694443055555,26.022499772222222,0.0,0.0,0.0,0.0,0.0,0.0,483.53333333333336,59.97925055277778,0.0,0.0,0.5751006633333332,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 05:00:00,5,0,2,False,0.0,0.0,-1.0,0.0,484.19166666666666,59.99291722777778,25.57750004444444,25.607777894444443,0.0,0.0,0.0,0.0,0.0,0.0,484.19166666666666,59.99291722777778,0.0,0.0,0.5915006733333371,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 06:00:00,6,0,2,False,0.0,-0.03333333333333333,-1.0,0.0,480.85,59.97461143055556,25.829444547222224,25.85972235277778,0.0,0.0,0.0,0.0,0.0,0.0,480.85,59.97461143055556,0.0,0.0,0.5695337166666746,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 07:00:00,7,0,2,False,0.0,-0.17777777777777778,-1.0,0.0,479.3777777777778,59.984806166666665,26.419444294444443,26.4655554,0.0,0.0,0.0,0.0,0.0,0.0,479.3777777777778,59.984806166666665,0.0,0.0,0.5817673999999983,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 08:00:00,8,0,2,False,0.0,-0.2361111111111111,-1.0,0.0,479.1166666666667,60.00397212222222,27.928611025,27.961666486111113,0.0,0.0,0.0,0.0,0.0,0.0,479.1166666666667,60.00397212222222,0.0,0.0,0.5952334533333328,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 09:00:00,9,0,2,False,0.0,-0.25555555555555554,-1.0,0.0,480.55555555555554,59.99924998055556,28.439999891666666,28.476944388888892,0.0,0.0,0.0,0.0,0.0,0.0,480.55555555555554,59.99924998055556,0.0,0.0,0.5990999766666733,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 10:00:00,10,0,2,False,0.0,-0.2972222222222222,-1.0,0.0,480.15555555555557,60.000305519444446,28.594444444444445,28.593888900000003,0.0,0.0,0.0,0.0,0.0,0.0,480.15555555555557,60.000305519444446,0.0,0.0,0.5996333766666652,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 11:00:00,11,0,2,False,0.0,-0.31666666666666665,-1.0,0.0,480.6777777777778,59.99494476388889,28.60361114722222,28.644167108333335,0.0,0.0,0.0,0.0,0.0,0.0,480.6777777777778,59.99494476388889,0.0,0.0,0.5939337166666661,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 12:00:00,12,0,2,False,0.0,-0.39444444444444443,-1.0,0.0,480.8888888888889,60.00283330833334,28.678889677777775,28.70416746666666,0.0,0.0,0.0,0.0,0.0,0.0,480.8888888888889,60.00283330833334,0.0,0.0,0.5966000299999962,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 13:00:00,13,0,2,False,0.0,-0.4722222222222222,-1.0,0.0,480.8361111111111,59.98980605000001,28.69333426666666,28.740277963888893,0.0,0.0,0.0,0.0,0.0,0.0,480.8361111111111,59.98980605000001,0.0,0.0,0.5877672600000153,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 14:00:00,14,0,2,False,0.0,-0.5416666666666666,-1.0,0.0,479.3722222222222,59.98077843055556,28.69888982777777,28.807776938888896,0.0,0.0,0.0,0.0,0.0,0.0,479.3722222222222,59.98077843055556,0.0,0.0,0.576934116666672,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 15:00:00,15,0,2,False,0.0,-0.6222222222222222,-1.0,0.0,477.7888888888889,59.988222811111115,28.663056150000003,28.762221811111118,0.0,0.0,0.0,0.0,0.0,0.0,477.7888888888889,59.988222811111115,0.0,0.0,0.5858673733333376,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 16:00:00,16,0,2,False,0.0,-0.6333333333333333,-1.0,0.0,479.6388888888889,59.99869479166666,28.435555505555556,28.50166666666666,0.0,0.0,0.0,0.0,0.0,0.0,479.6388888888889,59.99869479166666,0.0,0.0,0.5984337499999896,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 17:00:00,17,0,2,False,0.0,-0.7694444444444445,-1.0,0.0,480.1388888888889,60.01372121111111,28.35888847777778,28.39833324722222,0.0,0.0,0.0,0.0,0.0,0.0,480.1388888888889,60.01372121111111,0.0,0.0,0.5835345466666666,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 18:00:00,18,0,2,False,0.0,-0.6388888888888888,-1.0,0.0,480.93611111111113,60.00477734444444,28.331110422222228,28.379166438888888,0.0,0.0,0.0,0.0,0.0,0.0,480.93611111111113,60.00477734444444,0.0,0.0,0.59426718666667,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 19:00:00,19,0,2,False,0.0,-0.28888888888888886,-1.0,0.0,479.1388888888889,60.01711038333333,28.320276980555555,28.36194405277778,0.0,0.0,0.0,0.0,0.0,0.0,479.1388888888889,60.01711038333333,0.0,0.0,0.5794675400000017,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 20:00:00,20,0,2,False,0.0,-0.125,-1.0,0.0,483.1166666666667,60.01161056388889,28.302499025000007,28.325554811111115,0.0,0.0,0.0,0.0,0.0,0.0,483.1166666666667,60.01161056388889,0.0,0.0,0.5860673233333358,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 21:00:00,21,0,2,False,0.0,-0.1,-1.0,0.0,480.4583333333333,60.011721927777785,28.29833236666667,28.314443588888896,0.0,0.0,0.0,0.0,0.0,0.0,480.4583333333333,60.011721927777785,0.0,0.0,0.5859336866666581,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 22:00:00,22,0,2,False,0.0,-0.03333333333333333,-1.0,0.0,480.60833333333335,60.01547187777777,28.302499033333344,28.319165855555564,0.0,0.0,0.0,0.0,0.0,0.0,480.60833333333335,60.01547187777777,0.0,0.0,0.5814337466666757,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01 23:00:00,23,0,2,False,0.0,-0.03333333333333333,-1.0,0.0,479.3611111111111,59.996666511111115,28.379444224999997,28.4013888,0.0,0.0,0.0,0.0,0.0,0.0,479.3611111111111,59.996666511111115,0.0,0.0,0.5959998133333385,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02 00:00:00,0,0,3,False,0.0,-0.03333333333333333,-1.0,0.0,481.4888888888889,59.99252764722223,28.417222222222225,28.44861110833333,0.0,0.0,0.0,0.0,0.0,0.0,481.4888888888889,59.99252764722223,0.0,0.0,0.5910331766666787,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02 01:00:00,1,0,3,False,0.0,0.0,-1.0,0.0,483.85277777777776,59.99247237777777,28.43,28.47722222222222,0.0,0.0,0.0,0.0,0.0,0.0,483.85277777777776,59.99247237777777,0.0,0.0,0.5909668533333274,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02 02:00:00,2,0,3,False,0.0,0.0,-1.0,0.0,484.2944444444444,60.00588840277777,27.88138874722222,27.927777650000003,0.0,0.0,0.0,0.0,0.0,0.0,484.2944444444444,60.00588840277777,0.0,0.0,0.592933916666675,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02 03:00:00,3,0,3,False,0.0,0.0,-1.0,0.0,483.9861111111111,59.99366690277778,26.99861111111111,27.03083341944445,0.0,0.0,0.0,0.0,0.0,0.0,483.9861111111111,59.99366690277778,0.0,0.0,0.5924002833333389,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02 04:00:00,4,0,3,False,0.0,0.0,-1.0,0.0,484.48333333333335,60.00527748055556,26.71944471388889,26.754444538888887,0.0,0.0,0.0,0.0,0.0,0.0,484.48333333333335,60.00527748055556,0.0,0.0,0.5936670233333246,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02 05:00:00,5,0,3,False,0.0,0.0,-1.0,0.0,484.69444444444446,60.018666052777775,26.645833791666664,26.681667458333326,0.0,0.0,0.0,0.0,0.0,0.0,484.69444444444446,60.018666052777775,0.0,0.0,0.5776007366666703,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.12,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02 06:00:00,6,0,3,False,0.0,0.0,-1.0,0.0,482.73055555555555,59.997000144444435,26.90750045555555,26.940555905555552,0.0,0.0,0.0,0.0,0.0,0.0,482.73055555555555,59.997000144444435,0.0,0.0,0.596400173333322,0.0,0.0,141.46666666666667,50.0,70.73333333333333,0.18,0.096,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
