Timestamp,Battery_Active_Power,Battery_Active_Power_Set_Response,PVPCS_Active_Power,GE_Body_Active_Power,GE_Active_Power,GE_Body_Active_Power_Set_Response,FC_Active_Power_FC_END_Set,FC_Active_Power,FC_Active_Power_FC_end_Set_Response,Island_mode_MCCB_Active_Power,MG-LV-MSB_AC_Voltage,Receiving_Point_AC_Voltage,Island_mode_MCCB_AC_Voltage,Island_mode_MCCB_Frequency,MG-LV-MSB_Frequency,Inlet_Temperature_of_Chilled_Water,Outlet_Temperature
2022-05-01 00:00:00,0.7835685436196739,0.6049004594180705,0.0,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5018341892883346,0.5,0.7278676464953755,0.49069099087842183,0.6616662534093736,0.49838026414153935,0.4920633744855106,0.4887841124798974,0.5434225578209876,0.5989419345397975
2022-05-01 01:00:00,0.7835685436196739,0.6049004594180705,0.0,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5018341892883346,0.5,0.731377251932965,0.5474197176058968,0.7239028018844543,0.553077498131073,0.3656732510288258,0.36541336392917945,0.5405514144867812,0.5957014887008227
2022-05-01 02:00:00,0.7835685436196739,0.6049004594180705,0.0,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5017608217168011,0.5,0.7330630886060431,0.6258902911408223,0.7968013885445087,0.6329429354597552,0.28601549088767736,0.2842460100915652,0.5219591176277925,0.5746024268847769
2022-05-01 03:00:00,0.7835685436196739,0.6049004594180705,0.0,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5018341892883346,0.5,0.7359673254201181,0.6417593402474066,0.8131663773865622,0.6512584101669581,0.2401577013521126,0.2420353839683482,0.5048257698653211,0.555221938260797
2022-05-01 04:00:00,0.7835685436196739,0.6049004594180705,0.0,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5018341892883346,0.5,0.7334079188346272,0.4532050481069594,0.6263327547731217,0.4616247196611002,0.3536181069959222,0.3574406310086877,0.5090810530816713,0.5597668387518309
2022-05-01 05:00:00,0.7835685436196739,0.6049004594180705,0.002500893176134334,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5018341892883346,0.5,0.7329251565146093,0.4637011120829691,0.6398462682866365,0.47022177921754155,0.7854169312169204,0.7854158751469631,0.5010661482314835,0.5514224405611905
2022-05-01 06:00:00,0.7835685436196739,0.6049004594180705,0.047040609741574375,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5018341892883346,0.5,0.7281664993601483,0.49981257028614157,0.669600793454004,0.5088462496885123,0.639324456202184,0.6369493886300558,0.5034977445861933,0.5538346508730746
2022-05-01 07:00:00,0.7835685436196739,0.6049004594180705,0.35465047040609743,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5017608217168011,0.5,0.6827868412784772,0.4002249156566296,0.5636002975452511,0.40842262646399236,0.6287448853615395,0.6298670341443641,0.5222116288055171,0.5748301872470123
2022-05-01 08:00:00,0.7835685436196739,0.6049004594180705,0.5943193997856377,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5018341892883346,0.5,0.6483574586778443,0.3398725477945765,0.4986362509298297,0.34786942437079416,0.635504879482596,0.6342950479067638,0.5487346311612795,0.6043460805779182
2022-05-01 09:00:00,0.7835685436196739,0.6049004594180705,0.763308324401572,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5009170946441672,0.5,0.6255067088636694,0.390978383106335,0.5362013389536322,0.39658609519062965,0.7310378306877813,0.7334692326818497,0.552681288596889,0.6079799262648682
2022-05-01 10:00:00,0.7835685436196739,0.6049004594180705,0.8757889722519948,0.0,0.7139796898767349,0.6237196014215037,0.5,0.49706529713866465,0.5,0.6107403121863003,0.4369611395726609,0.5818249442102659,0.44318464988786377,0.512052175191101,0.5165292620042226,0.554533045432353,0.6104542516556664
2022-05-01 11:00:00,0.7835685436196739,0.6049004594180705,0.9089555793735858,0.0,0.7139796898767349,0.6237196014215037,0.5,0.49053558327219365,0.5,0.6066023494432907,0.34599525178058216,0.4902058021324068,0.3521056566159968,0.5846573486185269,0.582056374538202,0.5571236221110181,0.6129596350000347
2022-05-01 12:00:00,0.7835685436196739,0.6049004594180705,0.9129450994402764,0.0,0.7139796898767349,0.6237196014215037,0.5,0.4887747615553925,0.5,0.606548709185511,0.24653255029363985,0.3900322340689317,0.2531771741839026,0.6184546737213213,0.6136324594799017,0.5593868696999809,0.615620315152173
2022-05-01 13:00:00,0.7835685436196739,0.6049004594180705,0.8736453495295938,0.0,0.7139796898767349,0.6237196014215037,0.5,0.4886280264123257,0.5,0.6131081464225779,0.2631513182556552,0.4083808579221422,0.268751557438326,0.6531389182833693,0.6478690539804518,0.5605278480481444,0.6180014876984934
2022-05-01 14:00:00,0.7835685436196739,0.6049004594180705,0.7727759914255091,0.0,0.7139796898767349,0.6237196014215037,0.5,0.4886280264123257,0.5,0.626242346684649,0.19755091840559724,0.3502355566575735,0.20446050336406715,0.5499697530863344,0.5475206062719383,0.562529252023801,0.6192748880204705
2022-05-01 15:00:00,0.7835685436196739,0.6049004594180705,0.6146242705728236,0.0,0.7139796898767349,0.6237196014215037,0.5,0.4886280264123257,0.5,0.6468248798841371,0.23078845432962533,0.3909000743863134,0.23735360079740694,0.3451001469722669,0.34298356645823663,0.5637824643476502,0.621293652931955
2022-05-01 16:00:00,0.7835685436196739,0.6049004594180705,0.39662974871978085,0.0,0.7139796898767349,0.6237196014215037,0.5,0.4886280264123257,0.5,0.6751392730978781,0.22666500062476583,0.3933796181502603,0.2331173685522043,0.3750813639035229,0.37397494024187655,0.5638198726489807,0.622608434318635
2022-05-01 17:00:00,0.7835685436196739,0.6049004594180705,0.14237227581279027,0.0,0.7139796898767349,0.6237196014215037,0.5,0.489655172413793,0.5,0.7084958505429161,0.359990003748595,0.5281428217208036,0.3669324694742086,0.35332995296883485,0.3533142408365043,0.5642594207507489,0.6229914889004344
2022-05-01 18:00:00,0.7835685436196739,0.6049004594180705,0.0035727045373347625,0.0,0.7139796898767349,0.6237196014215037,0.5,0.4936903888481291,0.5,0.7286492616801662,0.4930651005872797,0.6686089759484268,0.5008721654622464,0.41681713697822287,0.41234028619149116,0.5702916043592643,0.6290065112748343
2022-05-01 19:00:00,0.7835685436196739,0.6049004594180705,0.0,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5005502567865003,0.5,0.7294998429106737,0.6222666500062468,0.7939499132159675,0.6283329180164469,0.3148196355084317,0.3158247514697656,0.5718814921432683,0.630124616756078
2022-05-01 20:00:00,0.7835685436196739,0.6049004594180705,0.0,0.0,0.7139796898767349,0.6237196014215037,0.5,0.5015774027879677,0.5,0.7355918436156599,0.5521679370236151,0.7276221175303746,0.559556441564913,0.47795922986477263,0.47934467249921325,0.5542898906320016,0.610868367296883
